#{"t_start": 1762837391.2317295, "env_id": "None"}
r,l,t
154.562259,11,0.754767
305.357494,12,0.836719
232.530595,17,0.898692
483.638873,28,0.97886
220.43031,15,1.034637
238.826077,17,1.08219
322.350777,24,1.423541
279.942056,18,1.688118
387.266051,24,2.049698
235.124284,15,2.267139
175.867239,14,2.471752
293.139101,14,2.671608
214.723105,17,2.91521
223.556525,15,3.149366
627.873249,24,3.49877
521.427786,19,3.794136
136.945025,12,3.965718
593.797947,21,4.267452
475.651074,18,4.529376
368.567307,19,4.812474
272.176517,23,5.156501
174.039206,12,5.339971
281.95235,21,5.651512
297.503134,18,5.904871
260.883496,14,6.10722
127.876766,12,6.291762
240.608664,14,6.515418
479.569066,34,7.043197
199.336865,14,7.254933
380.152936,15,7.485866
208.18962,14,7.69932
741.788115,26,8.102058
271.451869,13,8.310589
364.415508,18,8.574883
308.560354,14,8.789326
502.200398,37,9.345867
939.336191,38,9.88865
478.520409,25,10.252895
219.471057,13,10.435538
442.031537,19,10.699656
351.38853,12,10.868201
477.245668,16,11.090692
310.329104,18,11.343496
613.936663,39,11.886112
366.05549,22,12.199461
532.045246,18,12.455741
729.526025,41,13.047653
281.351238,17,13.306503
589.982211,25,13.670328
249.625124,13,13.858493
206.075391,16,14.087338
428.279817,20,14.366932
