time/episodes,rollout/ep_len_mean,train/learning_rate,train/critic_loss,time/time_elapsed,time/fps,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,train/ent_coef
4,71.25,0.0003,53.48480224609375,4,67,184,285,79.76207475,10.14958667755127,-0.2551438510417938,1.045056700706482
8,74.0,0.0003,18.25515365600586,10,58,491,592,82.84229562499999,-3.2245450019836426,0.07986694574356079,1.034930944442749
12,66.16666666666667,0.0003,2.604961633682251,14,55,693,794,74.08640075,-5.312497138977051,-0.007301625795662403,0.998315691947937
16,67.875,0.0003,2.2666549682617188,19,55,985,1086,75.9914786875,-6.17588996887207,-0.3396487832069397,0.9225310683250427
20,67.65,0.0003,2.385128974914551,24,55,1252,1353,75.74245585,-7.464588642120361,-0.6291008591651917,0.8540759086608887
24,64.5,0.0003,1.2869534492492676,28,55,1447,1548,72.21577229166667,-9.418353080749512,-0.9310290217399597,0.806819498538971
28,64.46428571428571,0.0003,3.4678564071655273,32,54,1704,1805,72.17447371428571,-11.24305248260498,-1.2716643810272217,0.747104287147522
32,64.09375,0.0003,9.50008487701416,37,54,1950,2051,71.7559308125,-11.336198806762695,-1.345259189605713,0.6954199075698853
36,65.30555555555556,0.0003,28.726896286010742,43,54,2250,2351,73.09841430555555,-13.877009391784668,-1.978020429611206,0.6395110487937927
40,65.925,0.0003,5.69677734375,48,54,2536,2637,73.785408225,-16.605857849121094,-1.9502792358398438,0.5930052399635315
44,64.93181818181819,0.0003,6.684395790100098,52,54,2756,2857,72.67432079545455,-16.721023559570312,-1.6332837343215942,0.5579318404197693
