train/n_updates,train/critic_loss,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/actor_loss,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/learning_rate
20431,17.171009063720703,127.22146575,4,0.04032984375953674,-32.03901672363281,9,632,158.0,67,-0.2993852496147156,0.0003
21135,10.690557479858398,182.42245287499998,8,0.05126216635107994,-30.48932647705078,21,1336,167.0,60,5.939351558685303,0.0003
22000,20.92394256591797,205.08990225,12,0.06334254890680313,-31.254663467407227,36,2201,183.41666666666666,59,1.0959153175354004,0.0003
22538,19.997337341308594,198.284565375,16,0.06894576549530029,-34.77643585205078,45,2739,171.1875,59,2.054948329925537,0.0003
23275,21.159814834594727,201.25575765000002,20,0.07271913439035416,-33.704341888427734,57,3476,173.8,60,1.0744006633758545,0.0003
24174,11.484891891479492,214.13338008333332,24,0.0753883495926857,-29.12623405456543,72,4375,182.29166666666666,60,-4.148896217346191,0.0003
24961,14.751520156860352,217.02702946428573,28,0.06683185696601868,-33.715606689453125,85,5162,184.35714285714286,60,2.687744140625,0.0003
25580,19.889141082763672,213.97569834375,32,0.06234201043844223,-32.10405349731445,95,5781,180.65625,60,-2.882007598876953,0.0003
26154,25.390541076660156,206.24698097222222,36,0.05752270296216011,-35.553409576416016,106,6355,176.52777777777777,59,-3.576836585998535,0.0003
26737,16.285404205322266,201.65742715,40,0.053432006388902664,-35.50487518310547,116,6938,173.45,59,0.5127779245376587,0.0003
27245,15.87762451171875,194.9766418181818,44,0.04995498061180115,-37.121490478515625,124,7446,169.22727272727272,59,2.37359881401062,0.0003
27915,12.557136535644531,194.88761608333334,48,0.047368038445711136,-38.04536056518555,136,8116,169.08333333333334,59,1.2275420427322388,0.0003
28571,11.377182006835938,198.94374807692307,52,0.046337176114320755,-34.81792068481445,147,8772,168.69230769230768,59,-2.2397990226745605,0.0003
29116,12.462374687194824,193.257008125,56,0.047052811831235886,-37.298583984375,157,9317,166.375,59,-1.217547059059143,0.0003
29834,12.83682918548584,192.76163226666662,60,0.04869835823774338,-38.42799377441406,170,10035,167.25,58,-1.0124075412750244,0.0003
30401,12.997706413269043,191.835613421875,64,0.05032436549663544,-40.190067291259766,180,10602,165.65625,58,1.5367470979690552,0.0003
31054,25.0762939453125,190.69459358823525,68,0.05403491109609604,-39.1920280456543,191,11255,165.51470588235293,58,-0.07269708812236786,0.0003
31801,16.85919952392578,191.63269319444444,72,0.05473961681127548,-38.102718353271484,203,12002,166.69444444444446,58,1.4944305419921875,0.0003
32498,8.663341522216797,189.59002561842107,76,0.05111505463719368,-40.77292251586914,215,12699,167.0921052631579,58,-1.2381643056869507,0.0003
33110,18.199310302734375,188.80773570000002,80,0.04834235832095146,-37.88383483886719,225,13311,166.3875,58,2.7320404052734375,0.0003
33770,20.155170440673828,189.43417726190478,84,0.047880396246910095,-40.1172981262207,237,13971,166.32142857142858,58,0.042724139988422394,0.0003
34517,25.020008087158203,191.59443157954544,88,0.049163419753313065,-39.375301361083984,250,14718,167.25,58,-0.8003796935081482,0.0003
35179,13.74483871459961,192.5856862717391,92,0.04867352917790413,-41.961669921875,264,15380,167.17391304347825,58,-0.8680514097213745,0.0003
35907,17.855823516845703,196.35741361458335,96,0.04798780009150505,-41.840423583984375,277,16108,167.79166666666666,57,-1.9515657424926758,0.0003
36675,25.136674880981445,197.82033992999996,100,0.04509444534778595,-37.774810791015625,291,16876,168.76,57,0.4207726716995239,0.0003
37475,16.09103775024414,202.60038738000003,104,0.04619747772812843,-40.20322036743164,305,17676,170.44,57,-0.18262693285942078,0.0003
38088,27.53061294555664,200.10713582999998,108,0.04642943665385246,-38.24225616455078,316,18289,169.53,57,-0.049155693501234055,0.0003
38959,19.81149673461914,203.98788261,112,0.04431229084730148,-39.41291427612305,331,19160,169.59,57,-0.6170625686645508,0.0003
39730,23.231609344482422,205.97041703,116,0.04763253405690193,-39.42607116699219,344,19931,171.92,57,1.19831120967865,0.0003
