#{"t_start": 1763034675.9315107, "env_id": "None"}
r,l,t
56.33106,96,2.877013
123.227117,170,6.525073
101.248735,121,9.005422
203.821629,254,14.175289
133.63501,153,17.30773
230.614738,255,22.694623
185.196879,178,26.384984
95.416106,142,29.28406
127.10941,133,31.917869
165.422211,227,36.564458
151.64363,193,40.460257
289.515467,221,45.327536
87.418605,111,47.97274
216.568852,207,52.269833
184.289744,196,56.22607
139.206609,131,58.655495
176.384148,169,61.957682
173.232373,151,64.863837
124.428635,125,67.398278
111.264791,91,69.177358
78.574315,168,72.305959
93.083203,91,74.065033
133.913519,207,78.158528
212.992552,177,81.723508
154.818167,150,84.644398
221.761271,189,88.306858
176.361154,126,90.644876
221.838709,232,95.266078
208.960642,198,99.191097
301.037941,276,104.683208
118.04818,140,107.681646
230.852554,201,111.643294
240.365648,193,115.527342
162.176884,211,119.727153
268.768234,140,122.582166
113.333556,101,124.549423
