time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,train/learning_rate
499,8,398,0.8882197737693787,-0.5769314169883728,57,4,124.75,-7.129249572753906,90.70346874999998,0.950160801410675,0.0003
1104,20,1003,0.74156254529953,-1.41509211063385,55,8,138.0,-12.035013198852539,97.161441875,1.6534509658813477,0.0003
1669,30,1568,0.6289097666740417,-2.159287452697754,54,12,139.08333333333334,-16.328407287597656,99.40737141666665,2.7133326530456543,0.0003
2209,40,2108,0.5391455888748169,-2.561289072036743,54,16,138.0625,-19.533618927001953,101.4263944375,4.994698524475098,0.0003
2804,51,2703,0.45937466621398926,-2.740370035171509,54,20,140.2,-23.52166175842285,112.14335994999999,6.383930206298828,0.0003
3356,61,3255,0.3981684744358063,-2.9672133922576904,54,24,139.83333333333334,-27.15859031677246,120.74574383333334,5.935483932495117,0.0003
3990,73,3889,0.33884844183921814,-3.1970553398132324,54,28,142.5,-28.41445541381836,121.62131367857144,5.47715950012207,0.0003
4596,84,4495,0.2890980839729309,-3.159092426300049,54,32,143.625,-30.367734909057617,127.43901981249999,11.235696792602539,0.0003
5170,95,5069,0.250084787607193,-4.132725238800049,54,36,143.61111111111111,-33.0832633972168,129.06524641666664,7.219594955444336,0.0003
5694,104,5593,0.2197137176990509,-3.435840368270874,54,40,142.35,-35.34238052368164,132.452502725,9.776897430419922,0.0003
6301,115,6200,0.18869055807590485,-3.591803550720215,54,44,143.20454545454547,-36.62908935546875,134.95597504545455,14.495416641235352,0.0003
6823,125,6722,0.16605527698993683,-3.8329591751098633,54,48,142.14583333333334,-37.132774353027344,137.12388872916668,12.382442474365234,0.0003
7406,136,7305,0.14631855487823486,-1.7124366760253906,54,52,142.42307692307693,-38.65323257446289,140.19620292307692,10.159259796142578,0.0003
7864,144,7763,0.13487674295902252,-1.2972097396850586,54,56,140.42857142857142,-39.59955596923828,140.75543489285715,25.302162170410156,0.0003
8446,155,8345,0.11954455822706223,-2.740438222885132,54,60,140.76666666666668,-40.63783645629883,143.7868304666667,14.637862205505371,0.0003
8908,163,8807,0.11063574254512787,-1.4085761308670044,54,64,139.1875,-40.80398941040039,143.30343121875,15.00312614440918,0.0003
9534,175,9433,0.1017746850848198,-1.7948248386383057,54,68,140.2058823529412,-39.68409729003906,146.43426808823529,15.01318359375,0.0003
10124,185,10023,0.09151995927095413,-1.4395780563354492,54,72,140.61111111111111,-41.580257415771484,145.84430683333332,11.029985427856445,0.0003
10617,194,10516,0.08636652678251266,-0.8296087980270386,54,76,139.69736842105263,-45.26593780517578,146.25833859210528,16.78011703491211,0.0003
