#{"t_start": 1763197854.882462, "env_id": "None"}
r,l,t
104.075301,161,4.951538
104.075301,161,10.425384
104.075301,161,15.896493
104.075301,161,21.221705
104.075301,161,26.767506
104.075301,161,32.116417
220.634154,222,39.631383
104.075301,161,45.05078
104.075301,161,50.712631
104.075301,161,56.181087
104.075301,161,61.623232
104.075301,161,67.835437
104.075301,161,73.446422
104.075301,161,79.604394
104.075301,161,85.594477
104.075301,161,91.360781
104.075301,161,96.904435
104.075301,161,102.492993
104.075301,161,108.291716
104.075301,161,113.842431
104.075301,161,119.262337
104.075301,161,124.914288
104.075301,161,130.573143
104.075301,161,136.797364
104.075301,161,142.846571
220.457288,210,150.20576
104.075301,161,156.584727
104.075301,161,162.768492
104.075301,161,168.894778
104.075301,161,174.725329
104.075301,161,180.359782
104.075301,161,186.081179
104.075301,161,191.74192
104.075301,161,197.375776
104.075301,161,203.172128
104.075301,161,209.064349
104.075301,161,216.070635
104.075301,161,222.077192
104.075301,161,228.05895
104.075301,161,233.890186
104.075301,161,239.40581
104.075301,161,244.994719
104.075301,161,250.405445
104.075301,161,255.837065
104.075301,161,261.263412
104.075301,161,266.849773
104.075301,161,272.976111
104.075301,161,279.143814
104.075301,161,285.219799
104.075301,161,290.972547
104.075301,161,296.493933
104.075301,161,302.491088
104.075301,161,308.644534
104.075301,161,314.514731
104.075301,161,320.15195
104.075301,161,326.185775
104.075301,161,331.932946
104.075301,161,338.148714
104.075301,161,344.112661
104.075301,161,350.01433
104.075301,161,355.737443
104.075301,161,361.367839
104.075301,161,367.424895
104.075301,161,373.145924
104.075301,161,378.705344
104.075301,161,384.306923
104.075301,161,389.955384
104.075301,161,395.571186
104.075301,161,401.340039
104.075301,161,407.005568
104.075301,161,412.707916
104.075301,161,418.715893
104.075301,161,425.036347
104.075301,161,431.174003
104.075301,161,436.805028
104.075301,161,442.671181
104.075301,161,448.18458
104.075301,161,454.480669
104.075301,161,461.365624
104.075301,161,467.015152
104.075301,161,472.728962
104.075301,161,478.51045
104.075301,161,484.013168
104.075301,161,489.625625
104.075301,161,495.352916
104.075301,161,501.133435
104.075301,161,506.761678
104.075301,161,512.324713
104.075301,161,517.869923
104.075301,161,523.649731
104.075301,161,529.491996
104.075301,161,535.196843
104.075301,161,541.272089
104.075301,161,546.933794
104.075301,161,552.726365
104.075301,161,558.861729
104.075301,161,564.782958
104.075301,161,571.0089
104.075301,161,576.930647
104.075301,161,582.614748
104.075301,161,588.737221
104.075301,161,594.557644
104.075301,161,600.257046
104.075301,161,605.800029
104.075301,161,611.702918
104.075301,161,617.80738
104.075301,161,623.925282
104.075301,161,629.461306
104.075301,161,635.074578
104.075301,161,640.837705
104.075301,161,646.945977
104.075301,161,652.875
104.075301,161,658.616985
104.075301,161,664.830366
104.075301,161,671.114829
104.075301,161,676.947619
104.075301,161,683.010173
104.075301,161,688.673444
104.075301,161,694.851334
104.075301,161,700.623439
104.075301,161,706.216985
104.075301,161,711.688359
104.075301,161,717.538401
104.075301,161,723.517334
104.075301,161,729.309953
104.075301,161,734.71013
104.075301,161,740.054428
104.075301,161,745.432946
104.075301,161,750.850073
104.075301,161,756.253808
104.075301,161,761.626606
104.075301,161,766.914298
104.075301,161,772.181666
104.075301,161,777.607887
104.075301,161,783.078755
104.075301,161,788.491377
104.075301,161,793.893309
104.075301,161,799.166495
104.075301,161,804.425909
104.075301,161,809.69275
104.075301,161,814.98907
104.075301,161,820.254815
104.075301,161,825.455208
104.075301,161,830.6674
104.075301,161,835.865741
104.075301,161,841.091004
104.075301,161,846.35029
104.075301,161,851.614644
104.075301,161,856.948811
104.075301,161,862.149459
104.075301,161,867.36183
104.075301,161,872.558345
104.075301,161,877.759393
104.075301,161,883.011552
104.075301,161,888.273572
104.075301,161,893.535037
104.075301,161,898.80842
104.075301,161,904.083893
104.075301,161,909.343818
104.075301,161,914.684402
104.075301,161,920.097348
104.075301,161,925.381641
104.075301,161,930.666846
104.075301,161,935.992224
104.075301,161,941.255258
104.075301,161,946.521369
104.075301,161,951.786068
104.075301,161,957.017823
104.075301,161,962.264247
104.075301,161,967.552296
104.075301,161,972.799799
104.075301,161,978.128146
229.555504,208,984.794682
104.075301,161,990.168957
104.075301,161,995.49448
104.075301,161,1000.879565
104.075301,161,1006.225571
104.075301,161,1011.586953
104.075301,161,1016.909041
104.075301,161,1022.30193
104.075301,161,1027.654907
104.075301,161,1032.970089
104.075301,161,1038.266799
104.075301,161,1043.802278
104.075301,161,1049.273866
104.075301,161,1054.630066
220.507647,212,1061.547964
104.075301,161,1066.920178
104.075301,161,1072.18684
104.075301,161,1077.468775
104.075301,161,1082.737148
104.075301,161,1088.036466
104.075301,161,1093.296528
104.075301,161,1098.59682
220.507647,212,1105.596394
104.075301,161,1111.012099
104.075301,161,1116.557818
104.075301,161,1122.041504
104.075301,161,1127.431499
104.075301,161,1132.883847
104.075301,161,1138.290002
104.075301,161,1143.835596
104.075301,161,1149.248521
104.075301,161,1154.630712
104.075301,161,1159.978066
104.075301,161,1165.355132
104.075301,161,1171.006758
104.075301,161,1176.429364
