#{"t_start": 1763259353.4370427, "env_id": "None"}
r,l,t
11.390304,310,16.188421
11.51199,248,29.022684
15.425304,476,53.052695
12.91363,434,74.758905
23.782372,503,99.66975
9.818026,312,116.035059
24.189606,534,142.941804
5.725322,150,150.461663
11.315485,273,163.926764
15.301556,301,178.906064
13.412615,285,192.962084
13.524183,342,209.852365
16.749495,289,224.11923
9.119068,252,236.49499
30.924789,431,257.727934
29.949992,480,281.559206
36.580413,584,310.405044
17.494787,336,327.274646
58.537584,837,369.571207
8.099243,190,380.885015
61.193162,702,422.230293
40.818109,507,452.121056
23.578373,340,471.917075
16.941307,281,488.07619
22.704724,333,507.450035
13.737677,209,519.448416
25.161209,317,537.786452
28.232539,371,558.887482
30.399449,592,592.697206
11.937862,228,605.823104
21.726792,392,628.288238
11.800354,221,640.815784
47.741869,728,682.258532
42.259051,465,708.651847
27.922686,373,729.884622
70.199625,595,763.063915
22.957938,263,777.73523
33.03695,331,795.775251
9.254393,146,803.9569
57.495876,532,833.323335
49.512662,533,859.888967
32.887438,329,875.613092
40.937035,356,892.411645
38.60677,342,908.323406
25.589491,253,920.041906
30.725664,315,934.723453
42.089661,368,951.725496
32.900098,279,964.767425
35.897139,270,977.214293
69.161497,454,998.009887
46.998794,254,1009.491006
27.407246,221,1019.820369
44.080757,257,1031.483613
22.289462,211,1041.092686
27.896613,222,1051.280231
52.967058,280,1063.956519
50.39279,340,1079.336936
35.874311,226,1089.800104
36.481343,300,1103.719835
41.042859,283,1118.796973
28.868272,230,1131.312032
16.410112,168,1140.565619
32.274553,211,1152.008441
81.055337,488,1177.868165
26.194741,293,1193.471378
40.801843,256,1207.029239
31.191815,355,1226.010012
23.955362,251,1239.422708
21.6681,208,1250.645264
45.322422,246,1263.649703
39.698483,277,1278.403533
34.387157,344,1296.876107
21.487194,238,1309.761103
28.63793,273,1324.393398
70.64308,504,1351.325703
39.824293,315,1368.291953
56.695654,400,1389.702165
51.617523,403,1411.201421
19.957235,218,1423.14474
23.032011,234,1435.932366
27.738334,276,1450.88464
52.296683,360,1470.137255
44.802516,424,1493.320363
22.617266,237,1506.180955
39.777285,286,1521.55894
23.68469,219,1533.470942
16.992623,182,1543.699042
35.110214,353,1563.229245
30.328827,339,1582.002535
27.966918,254,1595.952582
33.783139,284,1611.443709
50.010639,353,1630.670292
20.930989,191,1641.03848
33.578565,230,1653.50829
42.178831,359,1673.072365
38.189099,310,1690.026151
31.117,313,1707.303988
11.583001,172,1716.752172
29.990969,300,1733.006266
33.464853,248,1746.480259
35.749961,333,1764.552696
55.54608,480,1790.739681
47.354671,339,1809.196044
48.627537,364,1828.710412
42.011097,336,1847.064517
45.653135,320,1864.569563
36.920429,292,1880.478869
24.779785,219,1892.444899
36.739951,325,1910.10004
34.574153,335,1928.349273
59.689503,371,1949.722671
24.316348,214,1961.301255
28.498824,244,1974.601693
36.904844,247,1987.850174
27.468976,241,2000.814493
46.498048,375,2020.924505
53.060084,309,2037.491716
21.662689,229,2049.980142
37.899464,250,2063.505259
45.428453,277,2078.577411
42.271453,280,2093.684922
34.212691,302,2109.907849
36.906101,304,2126.250205
63.547129,450,2150.31637
53.706657,391,2171.433987
43.287722,286,2186.663009
13.959601,153,2194.996207
17.456678,164,2204.036634
44.165607,345,2222.400911
63.00744,348,2240.787371
59.24412,389,2261.971173
26.726956,225,2274.33098
67.947823,451,2298.414089
35.145766,235,2311.040065
27.580669,223,2322.989418
48.503385,306,2339.654846
31.906679,253,2353.616082
34.828495,286,2368.958908
36.547205,252,2382.720962
39.471435,258,2396.5614
47.716408,278,2411.443224
37.252645,268,2425.933949
42.759374,290,2441.476782
37.620976,277,2456.465884
32.808701,250,2469.945346
34.864295,247,2483.253886
30.799564,249,2496.601656
35.333365,297,2512.499747
24.516742,245,2525.81718
26.312716,206,2536.993654
24.784345,198,2547.619335
37.012822,331,2565.361423
47.891745,363,2584.880543
34.709679,273,2599.507095
22.540933,220,2611.283091
30.753056,216,2623.051788
23.20691,196,2633.527532
30.444689,312,2650.422508
26.299865,211,2661.837153
46.617591,388,2682.344759
47.186414,398,2703.829802
41.834114,288,2719.246476
23.429921,191,2729.519272
35.5911,245,2742.511547
33.987137,287,2757.790455
37.667039,264,2770.931368
31.827835,281,2784.487328
52.328795,397,2803.90918
40.72659,346,2820.930395
26.966176,216,2832.081253
12.005376,158,2840.343419
37.484873,267,2853.399828
23.352206,205,2864.916256
20.158607,216,2877.331424
23.515817,186,2887.767531
13.984803,159,2896.525835
23.805672,243,2909.940888
41.349723,343,2928.671403
32.169247,232,2941.51055
65.851104,572,2972.98622
18.510107,217,2984.895488
39.668633,217,2996.855983
18.263756,182,3006.840929
34.47309,327,3024.663356
39.582532,276,3039.643817
29.958507,191,3050.234185
38.272789,335,3068.905791
42.499199,367,3088.994108
39.191075,273,3103.696003
31.703727,250,3117.308245
28.219228,212,3128.787271
76.821819,367,3148.519236
35.012758,254,3162.279414
36.69369,318,3179.691122
28.650075,229,3192.241744
65.021329,460,3217.899179
35.214538,241,3231.291606
38.233752,306,3247.904405
55.561287,425,3271.563481
27.287117,214,3283.275177
26.016165,215,3294.975158
34.94756,268,3309.634916
69.860837,428,3332.594392
31.819553,275,3347.660126
63.520107,339,3365.711263
28.53985,237,3379.441167
34.652298,293,3396.9181
24.257494,210,3408.786975
36.867423,294,3425.66706
41.18491,274,3441.416754
47.241754,309,3458.159679
34.894904,255,3471.851085
65.565396,445,3496.713232
49.519928,278,3512.282836
68.64713,578,3543.26803
40.113076,266,3556.491694
37.393833,272,3569.503808
44.091408,374,3588.36445
39.900427,293,3602.615546
36.215516,313,3618.011209
