time/episodes,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,time/fps,time/total_timesteps,train/critic_loss,time/time_elapsed,train/actor_loss,train/ent_coef
4,0.0003,15.32658025,311.5,-1.729672908782959,1145,28,1246,0.04403775930404663,44,-10.709775924682617,0.7094904184341431
8,0.0003,13.747554125,301.5,-3.4480390548706055,2311,27,2412,0.6827062964439392,88,-15.866456031799316,0.5005738735198975
12,0.0003,15.049149916666666,328.6666666666667,-5.645892143249512,3843,25,3944,0.13306021690368652,152,-19.575315475463867,0.3168472945690155
16,0.0003,16.39015775,357.0625,-8.068370819091797,5612,23,5713,0.11435467004776001,248,-21.377634048461914,0.18794497847557068
20,0.0003,14.747611299999997,322.7,-8.708791732788086,6353,22,6454,0.6642646789550781,292,-21.4578857421875,0.15101516246795654
24,0.0003,16.203554999999998,331.875,-10.257988929748535,7864,20,7965,0.16665634512901306,383,-21.13117218017578,0.0978483185172081
28,0.0003,16.41882964285714,327.57142857142856,-10.802520751953125,9071,20,9172,0.24984551966190338,456,-20.518409729003906,0.06946739554405212
32,0.0003,16.67925425,324.4375,-11.419057846069336,10281,19,10382,0.3407256305217743,527,-19.330551147460938,0.04913724213838577
36,0.0003,16.984744250000002,323.6666666666667,-11.563490867614746,11551,19,11652,0.3478643596172333,597,-19.01162338256836,0.034250374883413315
40,0.0003,16.98860685,316.925,-8.416685104370117,12576,19,12677,0.15997697412967682,656,-17.777973175048828,0.0264104176312685
44,0.0003,17.171395818181818,313.6136363636364,-7.024929046630859,13698,19,13799,0.16838426887989044,716,-17.18756103515625,0.020930714905261993
48,0.0003,17.313744916666668,308.2291666666667,-7.103124618530273,14694,19,14795,0.49964290857315063,771,-16.5390567779541,0.016441771760582924
52,0.0003,17.833667230769233,311.86538461538464,-3.8506593704223633,16116,19,16217,0.581358790397644,840,-15.925068855285645,0.012582315132021904
56,0.0003,18.91709253571429,311.17857142857144,-0.7786992788314819,17325,19,17426,0.20678812265396118,907,-14.871068954467773,0.010382509790360928
60,0.0003,19.29243931666667,308.1333333333333,1.631102204322815,18387,19,18488,0.12510836124420166,968,-14.63469123840332,0.008544300682842731
64,0.0003,19.591355171875,304.609375,1.2264713048934937,19394,18,19495,1.2263474464416504,1026,-14.253241539001465,0.008454479277133942
68,0.0003,20.282449176470585,308.47058823529414,1.1173638105392456,20875,18,20976,0.8617414236068726,1104,-13.535985946655273,0.008398868143558502
72,0.0003,20.86931869444444,309.93055555555554,2.1740314960479736,22214,19,22315,0.13638028502464294,1167,-13.025015830993652,0.007736193481832743
76,0.0003,21.177582249999997,307.82894736842104,0.3805205523967743,23294,19,23395,0.6135927438735962,1230,-12.43065071105957,0.007491914555430412
80,0.0003,21.341101024999997,306.25,0.8423140048980713,24399,18,24500,0.8029088973999023,1293,-12.048055648803711,0.00649846950545907
84,0.0003,21.418564857142854,304.9166666666667,-0.39118388295173645,25512,19,25613,0.30532151460647583,1345,-11.6497220993042,0.007442737929522991
88,0.0003,21.240127670454545,299.97727272727275,0.6620309352874756,26297,19,26398,0.1820445954799652,1382,-11.095909118652344,0.007804930210113525
92,0.0003,21.62653494565217,297.8478260869565,1.8600361347198486,27301,19,27402,0.21940822899341583,1428,-10.590217590332031,0.00783866923302412
96,0.0003,21.95375328125,297.7916666666667,-0.5520632266998291,28487,19,28588,0.2330276370048523,1483,-10.820573806762695,0.009422882460057735
100,0.0003,21.99749524,296.47,-0.5846210718154907,29546,19,29647,0.2120743691921234,1541,-10.373556137084961,0.009020235389471054
104,0.0003,22.267787749999997,293.73,1.5645138025283813,30518,19,30619,0.22383689880371094,1590,-10.266538619995117,0.011013319715857506
108,0.0003,22.790642410000004,293.97,-1.6593313217163086,31708,19,31809,0.412337988615036,1655,-9.802327156066895,0.010017910972237587
112,0.0003,23.36713453,288.57,0.12650373578071594,32700,19,32801,0.11819577217102051,1711,-9.519693374633789,0.009366684593260288
116,0.0003,23.24664131,278.91,-0.3253699839115143,33503,19,33604,0.154483824968338,1754,-9.369333267211914,0.008663538843393326
120,0.0003,23.99202057,281.94,-0.5685985684394836,34547,19,34648,0.22954161465168,1811,-8.816176414489746,0.00875583291053772
124,0.0003,24.383877419999997,277.36,-0.7498252987861633,35600,19,35701,0.30249014496803284,1869,-8.900429725646973,0.008631931617856026
128,0.0003,24.471014450000002,274.48,-1.1983023881912231,36519,19,36620,0.12586230039596558,1921,-8.583447456359863,0.008697787299752235
132,0.0003,24.98913747,275.76,2.442674160003662,37857,19,37958,0.1044866293668747,1996,-8.125495910644531,0.00983202550560236
136,0.0003,25.510361370000002,275.49,-0.461062490940094,39100,18,39201,0.2162892073392868,2064,-8.599567413330078,0.009830356575548649
140,0.0003,25.690833410000003,275.33,0.5634169578552246,40109,18,40210,0.7456533908843994,2121,-8.066594123840332,0.009742197580635548
144,0.0003,26.175926379999996,275.56,-0.5186595916748047,41254,18,41355,0.09141355752944946,2179,-8.03381633758545,0.009095162153244019
148,0.0003,26.391351659999994,275.56,1.6217585802078247,42250,18,42351,0.5543645620346069,2237,-7.835854530334473,0.009065968915820122
152,0.0003,26.350955489999997,270.69,0.3854299783706665,43185,18,43286,0.12731994688510895,2291,-7.452519416809082,0.008633434772491455
156,0.0003,25.91054309,269.19,-2.738790988922119,44244,18,44345,0.18449737131595612,2349,-7.6235551834106445,0.007948742248117924
160,0.0003,26.4698619,271.35,1.9130334854125977,45522,18,45623,0.08822410553693771,2416,-7.465198040008545,0.00817621685564518
164,0.0003,27.33053278,274.23,-0.1280156970024109,46817,18,46918,0.3382238745689392,2476,-7.483862400054932,0.008594307117164135
168,0.0003,27.88583404,274.39,1.6869096755981445,48314,18,48415,0.05451829731464386,2556,-7.410543441772461,0.008066743612289429
