#{"t_start": 1763351981.7101972, "env_id": "None"}
r,l,t
3.147405,120,5.041328
8.286833,189,13.014027
5.820726,158,19.71841
6.311673,169,27.222041
17.743166,320,41.804368
8.10027,215,54.826895
6.12184,152,61.442519
16.722027,420,82.006
18.595656,402,105.395272
28.54135,553,138.742792
11.878293,256,154.062135
4.340639,152,163.016917
6.569747,211,175.281966
13.471402,219,187.999731
24.800862,471,215.978244
30.111762,437,242.597593
6.266035,147,251.659861
10.195861,301,271.167933
27.733635,658,310.944748
19.753383,416,336.114578
29.615214,530,367.55679
16.423115,258,382.707349
12.898877,243,397.161599
14.097366,246,411.686331
51.620928,589,442.563104
12.151967,263,457.397689
13.55217,259,471.925979
19.572817,385,495.447714
11.582782,183,506.295094
19.792951,286,522.851724
24.695301,359,541.859424
58.20655,627,574.257594
23.836699,361,595.093153
24.62029,356,615.711195
33.462469,390,637.744081
52.180346,603,667.004124
27.603356,454,688.821819
28.210407,473,711.63544
38.493133,367,729.014824
36.441191,480,756.12403
19.124771,258,771.114256
30.861651,530,801.41827
29.880212,265,817.005107
9.23879,185,827.680929
33.804795,450,853.973053
16.221882,204,865.752422
19.025993,198,877.19069
51.763407,590,910.769898
15.105903,334,928.552576
21.876873,340,945.596089
23.726732,276,959.647548
47.424265,430,983.793048
31.175494,363,1001.008541
34.102103,336,1016.804888
72.051068,619,1046.476066
45.656729,552,1078.715019
66.578962,706,1120.68446
68.095476,611,1155.377388
36.842703,513,1181.701124
66.529227,961,1226.426531
34.518076,467,1247.996807
28.156394,393,1266.266085
21.366347,244,1277.758846
41.784022,571,1304.125219
42.5666,555,1329.657039
54.449439,603,1358.008666
41.466919,519,1387.056375
14.855026,252,1400.648186
21.048411,275,1415.652589
14.036218,251,1428.576693
19.059931,261,1440.88263
20.600418,302,1456.316816
23.095904,287,1471.365868
64.358653,624,1503.728897
38.072815,352,1523.599039
35.845214,365,1544.301428
21.306625,337,1562.73026
24.64971,266,1577.393229
58.373177,558,1608.759906
13.682799,166,1617.893008
28.558106,434,1640.499518
20.322563,270,1655.920228
22.212645,235,1668.570375
10.5914,162,1676.55586
25.005256,257,1691.119966
13.410057,200,1702.149354
35.011589,353,1722.068701
20.931807,204,1733.324636
23.350937,258,1747.594236
35.582261,415,1770.85183
14.908165,189,1781.201516
17.60296,278,1796.728866
58.588989,482,1823.393867
36.322158,368,1843.775157
27.30841,214,1855.746646
25.100208,273,1870.553235
19.654264,231,1883.010233
35.600612,251,1896.896918
25.151498,229,1909.40783
21.244325,240,1922.893365
66.306781,554,1953.346265
13.720126,141,1961.685466
31.164401,316,1979.629049
41.335792,317,1997.266413
23.187446,389,2018.92237
30.626691,286,2033.64918
29.301305,326,2048.969305
43.732511,442,2071.536191
22.434138,241,2086.290604
18.201871,216,2098.456569
15.37223,164,2108.064192
39.18309,196,2119.64523
32.325169,292,2136.309968
20.904916,239,2149.755919
14.86129,192,2161.127086
32.608834,382,2181.859329
31.827547,320,2198.04127
32.484961,433,2222.051027
42.312328,376,2243.339432
28.824177,322,2261.349109
42.174941,288,2276.57098
33.986795,316,2291.472141
59.115273,402,2310.516456
30.910937,310,2325.054545
26.037312,245,2336.366147
67.339363,604,2365.200008
38.230125,412,2386.0318
26.619305,271,2400.966436
50.980286,545,2431.617308
38.95713,440,2455.949929
57.388245,527,2485.543653
42.696829,324,2503.692511
30.830441,328,2520.99235
41.725328,462,2542.673765
26.995716,342,2559.257803
35.300768,336,2577.899338
28.99514,258,2592.194997
17.498045,257,2606.459598
29.946452,294,2622.980862
14.752587,171,2632.421623
