train/actor_loss,train/ent_coef_loss,time/fps,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/ent_coef
-10.446845054626465,-1.5572078227996826,9,1136,284.0,0.27477824687957764,0.0003,4,27.54651225,122,1035,0.7332512140274048
-16.738536834716797,-3.548307180404663,9,2507,313.375,0.6186308264732361,0.0003,8,32.23106812499999,277,2406,0.4866022765636444
-20.806711196899414,-5.745307922363281,8,4073,339.4166666666667,0.3783875107765198,0.0003,12,40.425252083333326,456,3972,0.3066299557685852
-22.36001205444336,-6.880746841430664,8,4987,311.6875,0.2812485694885254,0.0003,16,39.64347925,560,4886,0.23425397276878357
-23.527759552001953,-7.8542351722717285,8,6057,302.85,0.5215065479278564,0.0003,20,39.18602295,680,5956,0.17167140543460846
-23.60069465637207,-9.06033706665039,8,7118,296.5833333333333,0.3089742064476013,0.0003,24,40.12707975,800,7017,0.1267319917678833
-23.271711349487305,-9.827618598937988,8,8265,295.17857142857144,1.414856195449829,0.0003,28,40.48697096428572,929,8164,0.09206606447696686
-22.56594467163086,-9.860798835754395,8,9368,292.75,1.1984940767288208,0.0003,32,41.526711500000005,1053,9267,0.06791013479232788
-22.685306549072266,-10.011300086975098,8,10185,282.9166666666667,0.743076741695404,0.0003,36,40.34563252777778,1145,10084,0.05481914058327675
-21.65791893005371,-7.730782985687256,8,11379,284.475,0.417341411113739,0.0003,40,42.459480475,1277,11278,0.04096849262714386
-22.10165023803711,-2.247671127319336,8,12625,286.9318181818182,4.214052677154541,0.0003,44,43.19129472727272,1416,12524,0.030170850455760956
-21.666996002197266,-5.140968322753906,8,13395,279.0625,3.101139783859253,0.0003,48,42.00601195833333,1503,13294,0.02555881254374981
-20.941158294677734,-3.714951992034912,8,14423,277.36538461538464,0.47970259189605713,0.0003,52,42.09477288461539,1620,14322,0.02211785316467285
-20.165985107421875,-1.884899377822876,8,15644,279.35714285714283,0.7414838671684265,0.0003,56,43.12173812499999,1756,15543,0.016394101083278656
-20.68097496032715,0.823489248752594,8,16492,274.8666666666667,0.6349269151687622,0.0003,60,44.07744991666666,1848,16391,0.01651824824512005
-19.77839469909668,1.1549252271652222,8,17309,270.453125,0.36819350719451904,0.0003,64,44.762207390624994,1937,17208,0.016633138060569763
-19.442115783691406,0.6008652448654175,8,18073,265.77941176470586,1.0571155548095703,0.0003,68,45.05595077941175,2020,17972,0.01758062280714512
-19.542272567749023,-0.4054565131664276,8,18991,263.7638888888889,0.644131064414978,0.0003,72,45.60234268055555,2119,18890,0.01699737273156643
-18.685043334960938,0.7463639378547668,8,20023,263.4605263157895,0.3584585189819336,0.0003,76,46.71507794736842,2232,19922,0.0164014995098114
-19.50171661376953,-0.8919739127159119,8,20794,259.925,1.4289103746414185,0.0003,80,46.85740865,2317,20693,0.017242679372429848
-18.872535705566406,-1.0365303754806519,8,21651,257.75,1.376319169998169,0.0003,84,47.00763965476191,2410,21550,0.02027013711631298
-19.202606201171875,0.9446065425872803,8,22583,256.625,0.6311957836151123,0.0003,88,47.506036034090904,2511,22482,0.020202789455652237
-18.417694091796875,0.017182260751724243,9,23416,254.52173913043478,1.3748195171356201,0.0003,92,47.69633236956522,2601,23315,0.019862353801727295
-19.031871795654297,-0.08950175344944,9,24521,255.42708333333334,0.5420709848403931,0.0003,96,48.83587818749999,2721,24420,0.020828694105148315
-18.730512619018555,-1.5758566856384277,9,25348,253.48,0.3687886893749237,0.0003,100,49.174357869999994,2811,25247,0.02016535960137844
-18.48778533935547,0.9273055791854858,9,26228,250.92,1.1825120449066162,0.0003,104,49.81438379999999,2908,26127,0.01962723396718502
-17.76425552368164,-0.44291606545448303,9,26999,244.92,1.9720896482467651,0.0003,108,50.179609809999995,2994,26898,0.019476545974612236
-17.95905303955078,-0.3578137457370758,9,27740,236.67,1.538147211074829,0.0003,112,49.65430159999999,3076,27639,0.0199094470590353
-16.918790817260742,-0.32734590768814087,9,28498,235.11,4.350978851318359,0.0003,116,50.04261339,3158,28397,0.021419063210487366
-16.8795108795166,1.4065768718719482,9,29319,232.62,3.3791704177856445,0.0003,120,50.61905465999998,3246,29218,0.02258877269923687
-17.053983688354492,0.7237155437469482,9,30377,232.59,2.21132755279541,0.0003,124,51.59106721999999,3359,30276,0.02307274378836155
-16.898841857910156,0.3235696256160736,9,31184,229.19,1.5661275386810303,0.0003,128,52.00612539000001,3446,31083,0.023500140756368637
-16.267963409423828,0.4420790672302246,9,32142,227.74,2.3743228912353516,0.0003,132,52.37136761000001,3549,32041,0.025079626590013504
-15.98575210571289,0.46231597661972046,9,33118,229.33,2.2861037254333496,0.0003,136,53.61976481,3653,33017,0.02430247887969017
-16.573223114013672,0.7332644462585449,9,33931,225.52,1.9497289657592773,0.0003,140,53.14228227,3741,33830,0.025360723957419395
-16.26560401916504,-0.7662806510925293,9,34964,223.39,1.3312547206878662,0.0003,144,53.813329700000004,3852,34863,0.023211253806948662
-16.50562286376953,0.02589118480682373,9,35682,222.87,1.3650236129760742,0.0003,148,54.26088681000001,3932,35581,0.021238155663013458
-16.493160247802734,1.4105229377746582,9,36479,220.56,0.37624841928482056,0.0003,152,54.18433056000001,4020,36378,0.021149994805455208
-15.370007514953613,-1.8177927732467651,9,37427,217.83,1.1854445934295654,0.0003,156,53.687962240000004,4127,37326,0.023575952276587486
-15.607691764831543,-2.168895721435547,9,38114,216.22,1.1786960363388062,0.0003,160,52.67620877,4205,38013,0.021425776183605194
