#{"t_start": 1763381213.8613722, "env_id": "None"}
r,l,t
3.955845,320,30.879083
3.90844,289,58.571158
3.079476,260,84.62205
2.68694,160,100.726863
2.621326,171,118.004817
2.04417,153,133.178286
1.535563,114,144.369781
3.457021,249,168.990451
7.214521,445,216.72982
1.765868,165,235.582685
2.744426,238,261.853192
2.629003,305,296.016207
5.28659,432,344.307233
2.542707,206,367.220304
3.752479,293,399.865957
1.555187,121,413.487385
3.064005,266,443.409031
3.165668,280,475.052041
2.496864,235,501.104352
1.672556,145,517.681562
3.404467,237,544.444445
4.500752,304,578.507197
5.159732,407,624.173199
2.976553,173,643.336668
5.800342,426,691.249635
3.234227,181,711.556333
5.097089,396,756.302118
2.002451,153,773.286925
3.506548,257,802.090559
5.239185,332,839.039061
4.385704,275,869.883305
6.165355,367,910.930892
5.561933,455,961.957853
4.10137,265,991.482904
1.551583,121,1005.28242
3.897635,270,1035.457614
7.691957,387,1079.703202
4.163908,261,1109.175762
4.291592,297,1142.465852
6.473098,505,1198.633334
3.171202,162,1216.899981
4.871255,276,1247.606687
5.478564,362,1287.897465
4.784455,310,1322.082789
3.688981,286,1353.427917
3.275466,159,1370.827854
4.034618,260,1399.587061
2.491447,253,1427.838275
5.069446,341,1465.510239
2.731505,162,1483.403354
3.973514,235,1509.599538
3.560814,273,1539.957569
3.171105,179,1560.541125
2.78001,205,1584.184868
4.986749,270,1614.750641
8.306155,455,1665.985402
6.846817,356,1706.920739
4.713425,204,1730.391611
6.126003,235,1760.885889
11.395039,480,1817.692305
4.912709,274,1850.818549
3.197657,191,1872.91022
8.355352,473,1926.50439
2.858927,186,1947.923726
2.089245,135,1963.070747
11.36789,632,2035.617436
6.214409,398,2080.806386
3.417924,190,2102.625365
7.975395,307,2136.994134
5.399087,257,2165.585259
7.693418,348,2204.232308
4.072912,165,2222.684645
6.208046,254,2250.545712
5.313808,255,2279.010989
9.574946,410,2323.910314
7.864253,426,2369.696557
5.053437,203,2391.699359
7.743615,406,2435.828515
8.711632,358,2474.751855
8.617692,381,2515.969948
6.182993,291,2547.211959
9.324611,332,2582.837417
6.943718,225,2607.292581
10.314144,375,2648.292346
11.34403,351,2686.344693
9.032022,434,2734.090023
6.004002,230,2759.688095
6.601755,247,2786.671729
4.208686,183,2807.06194
8.920396,275,2837.761707
9.450312,339,2874.591136
7.797993,237,2900.125187
4.519215,207,2922.228672
9.198911,355,2960.275003
9.188101,305,2992.845877
9.300581,320,3026.598782
7.248899,280,3056.303666
14.266205,433,3100.989831
7.434225,264,3129.68693
4.475602,214,3153.576201
7.356888,361,3191.935914
5.062719,207,3214.40216
16.004651,534,3270.896173
7.464729,306,3303.585006
10.644088,322,3337.085054
7.016802,247,3363.194868
9.066501,343,3400.27284
8.058061,337,3436.800727
7.892707,344,3474.25742
6.519264,266,3502.889995
5.397265,250,3531.6449
7.69127,318,3565.98201
4.769544,217,3589.150923
6.717717,309,3622.507139
6.890474,253,3649.791841
13.024726,418,3694.652766
6.691552,292,3727.23072
10.691685,403,3771.954707
9.669836,345,3809.675169
11.066442,399,3852.295526
5.369639,239,3877.902203
10.589017,493,3931.114346
6.492352,271,3957.057526
4.713713,195,3975.433627
4.287875,196,3993.900516
6.281448,195,4011.827745
5.111495,209,4030.850819
2.731709,133,4043.186432
7.465508,285,4069.405084
7.013812,238,4089.844398
7.058532,264,4114.299244
3.866761,170,4130.557861
6.65187,245,4153.762167
9.740152,332,4184.913025
6.404172,259,4208.841242
6.349379,214,4228.76391
9.945229,383,4263.721681
7.691811,258,4288.114522
9.482103,369,4322.5375
9.336016,332,4353.445448
7.832923,344,4385.487499
5.81902,245,4407.882205
6.095963,297,4435.007993
13.100616,504,4480.727116
4.505465,203,4499.028551
5.498072,309,4526.652129
2.76904,133,4538.891828
8.069628,342,4569.947752
6.450321,321,4598.341311
5.860681,278,4623.987203
2.762367,139,4636.690072
10.13673,308,4664.651267
8.921152,287,4691.169098
5.366061,283,4716.782657
7.398683,340,4747.706767
4.585019,189,4765.061311
4.283462,191,4782.656035
10.359041,297,4809.953201
8.476071,278,4835.760256
8.655942,294,4862.657287
11.719315,449,4903.425364
3.078582,163,4918.378353
6.385613,301,4945.488453
14.87072,441,4985.481656
