time/episodes,time/time_elapsed,train/ent_coef,time/total_timesteps,train/critic_loss,train/learning_rate,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,rollout/ep_rew_mean,train/n_updates
4,164,0.706875741481781,1258,0.04641934484243393,0.0003,7,314.5,-1.7590410709381104,-10.961296081542969,10.865498500000001,1157
8,299,0.522344172000885,2268,0.5238566398620605,0.0003,7,283.5,-3.2608683109283447,-15.473581314086914,9.768327750000001,2167
12,450,0.37374985218048096,3389,0.4455869495868683,0.0003,7,282.4166666666667,-4.838058948516846,-18.58834457397461,8.806519750000001,3288
16,617,0.25596898794174194,4658,0.21311761438846588,0.0003,7,291.125,-6.7058234214782715,-20.044336318969727,9.740748125,4557
20,735,0.1959100067615509,5559,0.46011561155319214,0.0003,7,277.95,-7.772567272186279,-20.407001495361328,9.2305207,5458
24,915,0.1303980052471161,6942,0.6291978359222412,0.0003,7,289.25,-9.008723258972168,-19.800540924072266,10.143475625,6841
28,1057,0.09489984065294266,8030,0.5949438810348511,0.0003,7,286.7857142857143,-10.560193061828613,-20.10203742980957,9.916524107142859,7929
32,1200,0.06917662173509598,9136,0.17811572551727295,0.0003,7,285.5,-11.352675437927246,-19.66956329345703,10.7329305,9035
36,1345,0.0502249039709568,10260,0.24316906929016113,0.0003,7,285.0,-12.410433769226074,-18.46514892578125,10.725211972222223,10159
40,1491,0.03661718592047691,11382,0.13210445642471313,0.0003,7,284.55,-12.307768821716309,-17.6529598236084,10.83482625,11281
44,1673,0.02467123046517372,12798,0.3408580422401428,0.0003,7,290.8636363636364,-10.155383110046387,-16.249967575073242,11.249181954545456,12697
48,1764,0.020517785102128983,13504,0.12976081669330597,0.0003,7,281.3333333333333,-11.909551620483398,-16.490970611572266,10.944869250000002,13403
52,1883,0.016352558508515358,14432,0.45527184009552,0.0003,7,277.53846153846155,-7.813432693481445,-15.313834190368652,11.134289961538464,14331
56,1996,0.013045069761574268,15354,0.1248992532491684,0.0003,7,274.17857142857144,-7.515555381774902,-14.132226943969727,11.005151589285715,15253
60,2091,0.010442432947456837,16318,1.5796780586242676,0.0003,7,271.96666666666664,-8.293546676635742,-13.839911460876465,11.135889950000001,16217
64,2166,0.008892097510397434,17088,0.12107878923416138,0.0003,7,267.0,-5.75947904586792,-12.692197799682617,11.03503828125,16987
68,2259,0.0077856420539319515,18045,0.08265745639801025,0.0003,7,265.36764705882354,0.7778522968292236,-11.963704109191895,11.147549029411763,17944
72,2394,0.006304620299488306,19451,0.1563037633895874,0.0003,8,270.15277777777777,-2.813514232635498,-12.131088256835938,11.777385777777777,19350
76,2489,0.005442502908408642,20440,0.11317883431911469,0.0003,8,268.94736842105266,-2.4618897438049316,-11.807132720947266,11.99703992105263,20339
80,2608,0.004790652077645063,21680,0.07842091470956802,0.0003,8,271.0,0.6109099388122559,-10.693498611450195,12.619181475000001,21579
84,2686,0.004304826259613037,22494,0.1315111517906189,0.0003,8,267.7857142857143,-1.412413239479065,-10.733223915100098,12.68730086904762,22393
88,2799,0.004544067196547985,23679,0.1721804141998291,0.0003,8,269.07954545454544,-4.194869518280029,-10.147170066833496,13.093463363636364,23578
92,2895,0.00469497125595808,24683,0.08917120844125748,0.0003,8,268.29347826086956,1.659039855003357,-9.629219055175781,13.14246593478261,24582
96,2998,0.005302695091813803,25729,0.13288439810276031,0.0003,8,268.0104166666667,5.387815475463867,-9.384702682495117,13.218779270833332,25628
100,3110,0.005044247023761272,26876,0.052482135593891144,0.0003,8,268.76,-2.5153675079345703,-8.651300430297852,13.119831290000002,26775
104,3217,0.0042246561497449875,27965,0.10235147178173065,0.0003,8,267.07,-0.7384459376335144,-8.76565170288086,13.327010079999997,27864
108,3364,0.004624003544449806,29462,0.24243712425231934,0.0003,8,271.94,-0.8230411410331726,-7.881601333618164,13.777171169999999,29361
112,3434,0.004377937410026789,30180,0.0880919098854065,0.0003,8,267.91,-0.21116161346435547,-7.835115909576416,13.787646189999998,30079
116,3518,0.00411398196592927,31033,0.13349640369415283,0.0003,8,263.75,-0.15534481406211853,-7.723935604095459,13.63126083,30932
120,3662,0.003450649557635188,32495,0.06988934427499771,0.0003,8,269.36,-3.340087413787842,-7.23084831237793,14.057076450000002,32394
124,3755,0.003779351944103837,33444,0.0516941174864769,0.0003,8,265.02,4.809879779815674,-7.137206077575684,14.09684543,33343
128,3853,0.003560281591489911,34457,0.05633152648806572,0.0003,8,264.27,-2.620532751083374,-6.970197677612305,14.339599960000001,34356
132,3937,0.0037834467366337776,35341,0.20582082867622375,0.0003,8,262.05,1.183138370513916,-6.639819145202637,14.357383269999998,35240
136,4048,0.004368111491203308,36509,0.168767511844635,0.0003,9,262.49,-2.0316758155822754,-6.709131717681885,14.974601130000002,36408
140,4142,0.004829395096749067,37507,0.23946666717529297,0.0003,9,261.25,2.634960412979126,-6.359971523284912,15.345431609999999,37406
144,4218,0.005507833790034056,38314,0.23427623510360718,0.0003,9,255.16,0.4429866075515747,-6.310068130493164,15.39175145,38213
148,4296,0.005426224321126938,39147,0.01344313658773899,0.0003,9,256.43,-2.880760431289673,-6.5987725257873535,15.704879360000001,39046
152,4390,0.004853901918977499,40149,0.11680831760168076,0.0003,9,257.17,-2.394975185394287,-6.300126075744629,16.10008908,40048
156,4464,0.0048373304307460785,40928,0.1000472828745842,0.0003,9,255.74,1.5883800983428955,-5.793038368225098,16.34956114,40827
160,4552,0.004891812801361084,41860,0.04858581721782684,0.0003,9,255.42,-0.5146308541297913,-6.013036251068115,16.588500659999998,41759
164,4648,0.004724964965134859,42887,0.20089541375637054,0.0003,9,257.99,1.0563991069793701,-5.843877792358398,17.08353602,42786
168,4747,0.005162154324352741,43949,0.12376342713832855,0.0003,9,259.04,-0.1780019998550415,-5.86616849899292,17.56157615,43848
172,4839,0.005121967289596796,44947,0.3781648278236389,0.0003,9,254.96,-0.9549199342727661,-5.913407802581787,17.58875059,44846
176,4946,0.005205088295042515,46113,0.09479422867298126,0.0003,9,256.73,0.9330250024795532,-5.861972808837891,18.07160107,46012
180,5058,0.005075959023088217,47311,0.025294411927461624,0.0003,9,256.31,0.40991970896720886,-5.992704391479492,18.20765472,47210
184,5149,0.004596265498548746,48291,0.06967876106500626,0.0003,9,257.97,0.29445183277130127,-5.870084285736084,18.511168429999998,48190
