#{"t_start": 1763412176.9976227, "env_id": "None"}
r,l,t
4.726087,223,15.172337
2.943995,216,31.746427
3.671999,268,51.962076
4.619574,315,76.76105
1.400298,117,85.876039
2.265484,201,100.971335
1.709859,187,115.490053
1.158636,141,126.414474
0.870127,100,134.045951
2.589504,231,151.537114
2.866801,356,178.497945
3.91687,221,195.251344
2.0977,155,207.050202
6.817066,473,243.053454
2.98327,223,259.780967
1.270707,122,268.933959
3.987642,336,294.229302
3.570222,358,320.131831
1.40419,124,329.212927
8.466826,624,375.128589
1.859357,165,387.628422
4.760774,250,406.189718
4.985604,347,431.532922
5.727055,548,471.517112
2.289717,186,485.041117
3.282301,229,502.015939
9.279715,544,542.007916
4.691765,394,571.124404
4.258563,309,593.46453
5.138063,324,616.387201
5.584998,272,635.520848
6.330243,394,663.505328
4.50266,346,688.31073
4.218224,285,708.627206
7.789478,510,744.903831
5.856089,485,780.624813
5.50866,355,806.392078
6.579884,328,830.459572
6.018547,319,853.650566
3.082327,212,869.020902
4.414489,233,886.304909
6.122623,355,911.986279
5.780869,391,940.902722
5.030556,361,967.25442
5.228534,321,990.817141
4.126325,334,1015.765974
4.349088,270,1035.395815
2.163102,165,1048.026677
3.080397,146,1059.544854
5.16334,287,1081.995429
4.00467,291,1103.621112
6.626894,324,1127.447548
10.907668,632,1175.207152
5.524757,380,1203.613095
9.334067,503,1241.456053
5.514988,386,1271.186078
7.257358,395,1300.06186
9.524996,525,1338.449258
6.194407,385,1367.008139
8.98039,419,1397.670632
6.558237,343,1423.023305
6.446296,454,1456.207488
7.112417,480,1491.603065
6.925857,465,1525.684488
6.931005,573,1568.2045
6.59415,553,1608.509246
8.266175,524,1646.890261
7.420727,497,1684.331146
12.195168,750,1739.533832
10.994105,787,1797.095657
5.150286,302,1819.553122
6.942681,500,1856.673168
6.874645,516,1894.570768
9.169269,708,1946.706122
8.142553,607,1990.823824
10.348619,599,2034.906302
10.605389,584,2076.979714
7.048421,414,2106.391819
7.477049,415,2135.649003
8.888896,452,2168.382431
4.927419,300,2190.669327
6.517085,462,2224.155705
7.41935,539,2263.437421
6.23588,398,2291.841063
8.277667,370,2318.619231
7.858139,458,2351.7735
8.416103,422,2382.431926
4.726749,271,2402.13188
6.434976,461,2435.97711
6.34955,458,2470.701251
5.348654,362,2497.538835
9.720093,791,2555.682423
7.796542,615,2601.084103
5.606265,339,2626.216019
7.517503,558,2667.010436
7.103648,459,2701.173216
7.270673,410,2731.433789
9.609663,561,2772.750952
12.429202,551,2812.952537
9.746668,508,2850.286971
3.990774,235,2867.103101
5.131073,281,2887.49379
7.019784,306,2909.815725
6.639521,244,2927.582101
3.137523,168,2939.693408
4.438794,206,2954.442812
5.097165,253,2972.77397
6.23014,338,2996.831809
6.389985,331,3021.064222
6.847065,272,3042.499572
2.590198,143,3053.6435
5.880087,348,3079.709447
6.991781,434,3110.940006
4.231635,256,3129.162152
4.412085,204,3143.746972
7.778116,487,3178.671535
3.939571,188,3191.879051
2.818217,162,3203.11952
5.524717,298,3224.193445
4.593624,237,3241.039395
6.253466,344,3265.399613
3.473884,235,3282.044844
4.162158,261,3300.566131
4.734862,218,3316.077322
3.117333,162,3327.670993
4.665176,223,3343.709577
3.313416,208,3358.483413
7.630029,408,3387.505366
5.506928,332,3411.059759
4.467906,300,3432.55256
2.407752,154,3443.415099
7.050383,392,3471.283971
7.403912,437,3502.27178
6.125677,259,3520.8835
5.466254,313,3542.992995
3.845101,217,3558.439187
6.432401,343,3584.263415
5.980598,265,3603.73612
10.234239,489,3638.178861
7.231116,327,3661.159213
7.099349,354,3686.415886
5.507007,272,3705.77827
9.256389,378,3732.580839
