#{"t_start": 1763633406.6587594, "env_id": "None"}
r,l,t
16.70992,355,19.228411
9.368321,212,29.981876
42.719862,472,56.601889
31.880281,550,93.875525
26.303487,331,116.291627
13.485257,312,138.351014
13.721418,294,159.786705
8.094337,170,172.365527
16.661198,209,186.553341
23.849079,288,208.098474
8.722477,258,226.649908
23.915485,356,251.423895
29.210101,418,281.864608
42.006306,506,319.326901
41.291166,745,374.067388
14.277739,200,388.567525
11.74713,167,400.663061
21.966339,517,438.666196
37.35209,497,475.313018
18.931822,250,493.629009
39.046797,355,519.847685
51.553789,474,554.794227
20.553291,296,575.448858
32.12497,452,608.11755
32.455541,384,635.908293
23.499052,274,655.920871
22.054388,376,680.697923
16.94322,194,693.831373
31.293478,235,709.712811
63.069089,536,746.067811
27.675195,296,766.086332
37.849185,361,791.565711
16.585184,171,804.015559
18.675166,225,820.522147
22.076899,308,843.038977
40.081514,389,871.683765
31.047323,329,895.938205
43.956027,465,929.855361
17.274207,191,943.59081
24.082683,239,960.35888
43.354426,355,986.361166
35.883309,500,1018.466852
32.370687,408,1046.163613
30.839495,227,1062.700617
39.656269,426,1093.605203
35.194336,429,1124.159146
36.731716,481,1156.106913
26.554593,287,1173.960082
28.4645,297,1192.484402
16.361459,235,1207.181681
72.84706,579,1243.643143
61.055226,624,1289.294811
22.026109,267,1307.777283
34.105709,320,1327.760404
39.028242,315,1347.451761
60.028573,360,1369.903312
30.36238,237,1384.695633
31.904643,242,1399.792848
31.374563,249,1415.627367
19.716474,214,1429.237562
41.456912,336,1450.649824
17.854924,162,1460.972376
21.430858,239,1476.240924
25.733516,418,1505.861307
37.506107,515,1540.676839
13.853358,251,1556.425545
8.88441,111,1563.389083
34.600331,313,1583.662124
39.129348,417,1612.122518
38.711035,316,1633.743568
18.699258,197,1646.928027
29.752365,247,1662.814829
28.000957,240,1677.800613
15.05572,173,1688.633041
78.369912,336,1712.992624
8.490768,153,1723.595559
60.186975,410,1753.532091
81.306499,522,1791.794927
20.308521,206,1806.916559
25.96766,284,1827.723899
19.266744,179,1840.750958
23.49903,237,1858.072287
16.828666,241,1875.633183
20.175762,190,1889.478902
25.691096,274,1908.507853
43.899415,388,1936.383417
28.269666,284,1957.119268
27.864263,276,1975.291166
54.824367,606,2018.86968
36.51295,270,2038.447883
34.237937,332,2062.647471
27.231016,273,2082.349247
15.128116,161,2093.120435
57.558214,390,2119.416622
17.73933,234,2136.801042
30.027304,283,2157.518288
37.196837,309,2179.721743
21.546807,234,2196.61428
52.077736,289,2217.717072
15.096148,133,2227.4195
16.477374,187,2241.065017
42.274398,262,2260.063041
36.011373,313,2282.655699
46.940944,420,2310.955559
46.977356,420,2341.210999
17.324766,176,2353.990333
33.190827,282,2374.280457
70.901255,463,2407.885895
19.956788,208,2423.133684
38.410573,279,2443.546314
31.581163,366,2468.443202
36.157883,288,2487.851743
30.796633,269,2506.361571
56.683314,428,2537.775986
18.195215,161,2549.514615
38.666281,380,2576.973145
13.32856,181,2589.926935
37.036962,232,2606.193389
16.938737,188,2619.893137
27.801844,275,2639.886055
20.143572,160,2651.575768
46.193205,319,2674.915607
65.523336,438,2706.969213
48.035752,394,2735.661924
22.342579,226,2752.148443
29.463607,212,2766.071544
20.375186,214,2779.476027
34.10118,258,2795.573343
27.942667,194,2808.39941
39.350864,320,2830.495049
55.197841,311,2851.478467
30.568826,321,2872.990962
8.47743,115,2880.728929
20.138159,150,2890.825747
33.195842,282,2909.740223
59.622749,424,2938.205366
16.032213,177,2951.394685
36.850399,273,2971.321534
32.988175,252,2989.626062
39.007506,260,3008.494916
40.783996,309,3031.031845
42.651553,294,3052.664127
30.187147,243,3070.188391
27.382217,252,3088.595823
33.386994,244,3105.418738
23.11352,208,3119.389013
46.514759,463,3152.492327
32.395424,308,3174.586656
21.630417,211,3189.757417
23.863709,196,3203.955848
20.659572,267,3223.338678
30.105361,271,3242.995368
33.251048,259,3261.882687
43.721006,438,3293.726855
57.538133,255,3312.316515
43.388864,257,3330.982627
30.923653,309,3353.484648
7.954136,113,3361.746237
41.699105,283,3382.284128
11.522953,164,3394.222946
10.021928,133,3403.936974
16.922927,239,3419.336422
52.155037,349,3442.987403
64.289227,459,3474.121083
36.256449,368,3499.918703
23.524658,261,3518.981599
32.864149,199,3533.487659
17.454062,187,3546.808787
27.081124,184,3559.167543
65.499652,382,3585.337887
23.026347,184,3598.476647
48.987672,284,3618.847039
39.986127,278,3638.925592
48.110603,452,3672.153744
62.165428,484,3707.461479
25.055347,188,3721.072995
26.417968,202,3735.88972
15.700361,177,3748.83119
46.144143,384,3776.920972
23.384077,224,3793.21733
56.97612,243,3811.127509
15.856517,154,3822.385853
18.293738,207,3837.541155
12.711595,146,3848.099628
35.196935,460,3881.650878
51.914625,313,3904.57863
44.15598,429,3933.81929
18.683822,168,3945.093273
71.953094,347,3968.313981
55.926961,414,3996.120363
48.295575,398,4022.811569
21.773,190,4035.510801
30.962866,293,4054.149425
43.259944,245,4070.317067
56.564131,392,4098.813171
37.588695,237,4116.078829
30.706244,313,4137.356949
32.820326,227,4153.101941
32.145606,245,4170.984925
25.631115,249,4189.081844
29.441626,258,4207.797323
36.54382,286,4228.57795
52.067188,268,4246.726304
31.885812,236,4262.662291
43.324363,372,4289.724867
