time/episodes,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/critic_loss,time/fps,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,train/learning_rate
4,-2.2522008419036865,0.6401178240776062,25.169596,91,1488,0.07695415616035461,17,397.25,-12.838781356811523,1589,0.0003
8,-3.9081270694732666,0.4594601094722748,20.285360375,169,2595,0.6655604839324951,15,337.0,-17.338287353515625,2696,0.0003
12,-5.443015098571777,0.32986027002334595,19.619260166666663,248,3706,0.1000664085149765,15,317.25,-19.769084930419922,3807,0.0003
16,-7.736764430999756,0.19021663069725037,22.638527125,386,5575,0.8178591132164001,14,354.75,-21.97364044189453,5676,0.0003
20,-9.445624351501465,0.12479661405086517,22.61069075,491,7006,0.17416444420814514,14,355.35,-21.775981903076172,7107,0.0003
24,-10.888627052307129,0.07925203442573547,24.812194250000005,605,8583,0.6838024854660034,14,361.8333333333333,-21.426485061645508,8684,0.0003
28,-10.93529987335205,0.05584760010242462,24.658745107142863,691,9811,0.3945353329181671,14,354.0,-21.027809143066406,9912,0.0003
32,-9.236536026000977,0.037897348403930664,26.5728690625,789,11239,0.3876546025276184,14,354.375,-20.13580322265625,11340,0.0003
36,-11.121564865112305,0.028023140504956245,26.326404805555555,869,12332,0.17839178442955017,14,345.3611111111111,-19.00494956970215,12433,0.0003
40,-7.364851474761963,0.02050863578915596,26.602770325,957,13556,0.23532149195671082,14,341.425,-18.31489372253418,13657,0.0003
44,-4.84387731552124,0.0146483751013875,27.421789318181823,1060,15046,0.258014440536499,14,344.25,-17.42340087890625,15147,0.0003
48,-1.8555335998535156,0.011582277715206146,28.014492583333332,1171,16669,0.6370341777801514,14,349.375,-16.343019485473633,16770,0.0003
52,-0.8750986456871033,0.010069307871162891,29.29661325,1287,18404,0.21906313300132751,14,355.86538461538464,-15.64537525177002,18505,0.0003
56,1.4121984243392944,0.0101004121825099,29.975223607142855,1367,19666,0.29419779777526855,14,352.98214285714283,-14.697989463806152,19767,0.0003
60,1.306954026222229,0.011428512632846832,29.866176366666668,1426,20608,0.4661561846733093,14,345.15,-15.021397590637207,20709,0.0003
64,0.12579214572906494,0.012041566893458366,29.663231124999996,1503,21763,0.7565261125564575,14,341.625,-14.46109676361084,21864,0.0003
68,-2.159764051437378,0.009539091028273106,29.3131029117647,1581,22953,0.30260515213012695,14,339.02941176470586,-13.87668228149414,23054,0.0003
72,-1.5217106342315674,0.008963142521679401,29.438652833333336,1660,24130,0.1993924230337143,14,336.5416666666667,-12.959699630737305,24231,0.0003
76,1.5212832689285278,0.009226996451616287,29.59868896052632,1721,25032,0.2028021216392517,14,330.69736842105266,-12.81391429901123,25133,0.0003
80,0.6503073573112488,0.011218992993235588,30.465875200000006,1825,26454,0.143148273229599,14,331.9375,-12.229151725769043,26555,0.0003
84,-0.7088943719863892,0.010331409983336926,29.9647645,1887,27301,0.48727887868881226,14,326.2142857142857,-12.07473087310791,27402,0.0003
88,-2.0280370712280273,0.01039126142859459,30.031416568181818,1972,28523,0.3283732831478119,14,325.27272727272725,-11.595212936401367,28624,0.0003
92,0.08423618972301483,0.009745580144226551,30.38664052173913,2079,30004,0.13380703330039978,14,327.2282608695652,-11.56605339050293,30105,0.0003
96,-0.7489428520202637,0.009600113146007061,30.375248875,2155,31072,0.29520729184150696,14,324.71875,-11.239689826965332,31173,0.0003
100,-0.024543747305870056,0.010070988908410072,30.419414200000006,2224,32037,0.32876068353652954,14,321.38,-11.079095840454102,32138,0.0003
104,0.19439221918582916,0.010608925484120846,30.829671249999997,2308,33219,0.37608802318573,14,317.31,-10.769681930541992,33320,0.0003
108,0.12752214074134827,0.010336746461689472,31.897568300000003,2405,34560,0.5512834787368774,14,319.65,-10.312204360961914,34661,0.0003
112,0.000773698091506958,0.010016845539212227,32.427149979999996,2485,35701,0.227899432182312,14,319.95,-10.255492210388184,35802,0.0003
116,0.012552604079246521,0.009315550327301025,32.602711289999995,2574,36939,0.470453143119812,14,313.64,-9.895797729492188,37040,0.0003
120,-0.28747838735580444,0.00938914529979229,32.65379851,2637,37815,0.5052207708358765,14,308.09,-9.437607765197754,37916,0.0003
124,0.8799577951431274,0.009812559932470322,33.019968690000006,2733,39126,0.2216576635837555,14,305.43,-9.602170944213867,39227,0.0003
128,0.5303499698638916,0.00998695194721222,33.13327220000001,2793,40036,0.4243009090423584,14,302.25,-9.5146484375,40137,0.0003
132,0.6731930375099182,0.010468117892742157,33.065004710000004,2870,41182,0.2398892045021057,14,299.43,-9.01151180267334,41283,0.0003
136,2.1555216312408447,0.010737803764641285,33.30515888,2935,42153,0.1783117800951004,14,298.21,-8.841484069824219,42254,0.0003
140,0.3333410620689392,0.010252359323203564,33.390339409999996,3006,43115,0.5422878265380859,14,295.59,-9.137401580810547,43216,0.0003
144,1.1056965589523315,0.01061973161995411,33.37590937,3086,44213,0.28763917088508606,14,291.67,-8.84032154083252,44314,0.0003
148,-1.1946065425872803,0.011341246776282787,33.3486472,3172,45436,0.22472423315048218,14,287.67,-8.816423416137695,45537,0.0003
152,1.1725574731826782,0.0107472138479352,32.52395534,3240,46381,0.43685024976730347,14,279.77,-8.624550819396973,46482,0.0003
156,-0.005808591842651367,0.011038709431886673,32.751059520000005,3328,47590,0.22798436880111694,14,279.24,-8.182703018188477,47691,0.0003
160,1.2551496028900146,0.01104808785021305,32.538477390000004,3391,48459,0.38323426246643066,14,278.51,-8.54069709777832,48560,0.0003
164,0.10002908110618591,0.010444115847349167,32.907606480000005,3471,49639,0.698686957359314,14,278.76,-8.25308895111084,49740,0.0003
168,-0.9724879860877991,0.01065122988075018,33.0601576,3544,50654,0.35759222507476807,14,277.01,-8.392550468444824,50755,0.0003
172,0.2151890993118286,0.010354164987802505,33.44318549,3616,51688,0.5894409418106079,14,275.58,-8.102192878723145,51789,0.0003
176,0.12369713187217712,0.009768680669367313,33.89718697,3718,53090,0.44762879610061646,14,280.58,-8.16183090209961,53191,0.0003
180,0.7519000768661499,0.009773213416337967,33.13595591000001,3790,54077,0.4225766658782959,14,276.23,-8.097726821899414,54178,0.0003
184,-0.007952660322189331,0.009361299686133862,33.37663359,3845,54827,0.2612607479095459,14,275.26,-7.974616050720215,54928,0.0003
188,-2.512695074081421,0.009824906475841999,33.61890281,3942,56197,0.2670378088951111,14,276.74,-7.6856231689453125,56298,0.0003
192,-0.733601450920105,0.010389433242380619,34.07032641,4033,57546,0.4755532741546631,14,275.42,-7.812008857727051,57647,0.0003
196,0.3970862925052643,0.010114060714840889,34.54955313,4113,58713,0.6276798844337463,14,276.41,-7.449195384979248,58814,0.0003
200,1.2499480247497559,0.010308635421097279,34.50341076,4186,59747,0.19974343478679657,14,277.1,-7.688557147979736,59848,0.0003
204,-0.8207427859306335,0.010867725126445293,34.58575432999999,4260,60795,0.49746283888816833,14,275.76,-7.496269702911377,60896,0.0003
208,-0.5049027800559998,0.011067359708249569,34.630806310000004,4366,62250,0.2666696310043335,14,276.9,-7.617487907409668,62351,0.0003
212,0.8936605453491211,0.010657981969416142,34.71059972,4431,63125,0.473440945148468,14,274.24,-7.1654372215271,63226,0.0003
216,2.081782341003418,0.011096787638962269,35.095045809999995,4524,64409,0.1406528353691101,14,274.7,-7.0261359214782715,64510,0.0003
220,0.9672517776489258,0.010901492089033127,35.64827137,4610,65611,0.09467745572328568,14,277.96,-6.894048690795898,65712,0.0003
224,-1.4513351917266846,0.01084192842245102,35.16320623,4697,66804,0.24780163168907166,14,276.78,-7.242883682250977,66905,0.0003
228,0.7874330878257751,0.010892659425735474,35.751392089999996,4778,67910,0.11320757865905762,14,278.74,-7.3475775718688965,68011,0.0003
232,-0.2906743586063385,0.011075880378484726,35.99115132,4874,69268,0.37930136919021606,14,280.86,-6.823617935180664,69369,0.0003
236,-1.1416064500808716,0.010411512106657028,36.63654417,4974,70687,0.2865263819694519,14,285.34,-7.1297783851623535,70788,0.0003
240,-0.9919282793998718,0.010475427843630314,36.47555845,5035,71546,0.4872332215309143,14,284.31,-7.237362861633301,71647,0.0003
244,0.8181121945381165,0.009899239987134933,36.19364536,5104,72570,0.3362434506416321,14,283.57,-6.898629188537598,72671,0.0003
248,-0.0452725887298584,0.010736370459198952,36.35930633,5181,73666,0.36362162232398987,14,282.3,-7.036722183227539,73767,0.0003
252,0.7606403231620789,0.010563036426901817,36.69256113,5249,74588,0.3710381090641022,14,282.07,-7.300561428070068,74689,0.0003
256,0.2758790850639343,0.010617736726999283,35.822429449999994,5305,75379,0.4434860944747925,14,277.89,-6.654623508453369,75480,0.0003
260,0.005585402250289917,0.010731825605034828,36.42299739,5376,76426,0.15517789125442505,14,279.67,-6.78367805480957,76527,0.0003
264,0.7039201259613037,0.01020044181495905,36.87447353,5467,77875,0.303501695394516,14,282.36,-7.158999919891357,77976,0.0003
268,1.3700822591781616,0.01044483296573162,37.01030389,5534,78891,0.25940489768981934,14,282.37,-6.752775192260742,78992,0.0003
272,0.39039161801338196,0.01052832417190075,36.38220689,5606,79881,0.43786466121673584,14,281.93,-7.009397029876709,79982,0.0003
276,-1.8071544170379639,0.009821079671382904,36.49381353999999,5717,81405,0.16289755702018738,14,283.15,-7.307474136352539,81506,0.0003
280,-0.1305231750011444,0.009984776377677917,36.91560823,5804,82632,0.358026385307312,14,285.55,-6.70751953125,82733,0.0003
284,0.1272013634443283,0.01000311877578497,36.74673492000001,5855,83361,0.6582567095756531,14,285.34,-6.869524955749512,83462,0.0003
288,-0.5954775214195251,0.009413658641278744,36.406850950000006,5923,84300,0.1373702585697174,14,281.03,-7.429094314575195,84401,0.0003
292,1.1461856365203857,0.009699863381683826,35.878151939999995,6008,85456,0.3382459282875061,14,279.1,-7.031413555145264,85557,0.0003
296,0.11965492367744446,0.009765704162418842,35.21263465999999,6069,86350,0.5773215293884277,14,276.37,-6.567847728729248,86451,0.0003
300,-0.5560853481292725,0.009594356641173363,35.92491769,6151,87573,0.1607399880886078,14,278.26,-6.564724445343018,87674,0.0003
304,0.5326226949691772,0.009236323647201061,36.182392730000004,6232,88765,0.09450459480285645,14,279.7,-6.739752769470215,88866,0.0003
308,0.8227857947349548,0.009966381825506687,35.852022309999995,6317,89921,0.17855051159858704,14,276.71,-6.810338497161865,90022,0.0003
312,0.16923271119594574,0.00963305588811636,35.882303619999995,6390,90964,0.12484046816825867,14,278.39,-6.8633503913879395,91065,0.0003
316,-1.2062920331954956,0.009600923396646976,35.34196627,6459,91914,0.686023473739624,14,275.05,-6.835824489593506,92015,0.0003
320,1.623516321182251,0.009648364037275314,35.24020366,6532,92906,0.31478264927864075,14,272.95,-6.811855316162109,93007,0.0003
324,1.9121792316436768,0.009551630355417728,35.51196336,6608,93949,0.2316933572292328,14,271.45,-6.696704864501953,94050,0.0003
328,1.4146617650985718,0.009369060397148132,35.23688083,6690,95079,0.465385377407074,14,271.69,-6.598670959472656,95180,0.0003
