#{"t_start": 1763617279.7189596, "env_id": "None"}
r,l,t
27.900151,291,10.71632
35.124986,296,24.273814
8.770528,137,29.705803
25.618093,337,44.573042
16.841388,317,57.821455
29.167665,373,73.79078
35.693141,236,84.525398
30.456583,334,102.398821
45.8461,370,119.513032
50.000016,443,139.593095
66.457828,575,170.930451
29.553338,317,187.14781
67.075572,468,211.064882
16.550248,207,221.884493
55.947167,446,244.864943
31.951343,385,264.337144
14.257099,187,273.805871
67.510366,376,293.254236
22.310015,240,305.754904
42.218073,292,320.744175
58.069564,534,347.879655
41.679774,428,369.747369
62.773807,483,393.995557
85.729838,574,423.196354
74.612514,527,449.804359
19.696292,191,459.474709
32.169695,345,476.955574
14.215076,199,487.139024
37.822126,309,502.846238
15.201167,227,514.309831
28.844938,255,527.446051
67.088917,465,551.214159
77.887839,417,572.489466
47.777152,324,589.00076
21.893871,175,597.740506
38.641944,219,608.818217
64.883297,482,633.266846
53.506835,363,651.511218
31.107588,209,662.059014
24.184091,198,672.081259
49.190148,292,686.878117
19.564934,195,696.668152
53.808024,269,710.171886
28.096471,195,719.957573
40.344217,251,732.597445
16.424901,185,742.164975
14.976815,150,749.725007
53.203243,299,764.698196
67.301741,334,781.3696
83.122856,409,801.952399
38.684988,276,816.079874
45.202491,238,828.175353
47.978369,305,843.365024
48.062827,244,855.667246
86.194522,413,876.518027
69.368807,355,894.309412
64.405113,289,908.698819
32.153241,183,917.931839
42.647416,243,930.268253
28.394622,224,941.524967
41.931594,253,954.132086
51.630304,316,969.83801
20.973855,250,982.501918
32.857769,301,997.880023
48.168225,253,1010.460635
46.140441,264,1023.635914
45.545454,316,1039.495864
23.516224,186,1048.920246
27.641659,189,1058.639435
55.425665,291,1073.21043
48.595912,403,1093.585595
54.165559,339,1110.684984
72.870846,336,1127.987601
73.406083,408,1148.511172
42.756313,314,1164.485349
46.058002,437,1186.756882
65.459083,423,1207.994757
76.84341,428,1229.516836
54.451228,342,1246.860688
62.24464,474,1270.788805
15.262666,144,1278.125483
65.216597,375,1296.936162
80.786418,370,1315.544211
29.651031,191,1325.141825
63.93597,322,1341.282356
74.35266,333,1357.971603
69.883008,336,1374.975234
25.720622,173,1383.634415
34.643849,189,1393.010577
46.739281,262,1406.331371
93.241593,410,1427.096575
66.129783,303,1442.643278
46.654393,202,1452.800107
49.325941,239,1464.989663
22.491034,201,1475.062853
43.872654,356,1492.879488
40.801238,303,1508.19034
48.040759,277,1521.995963
96.790227,539,1549.276797
68.495567,482,1573.64886
39.858374,202,1583.83357
27.841495,226,1595.920393
28.352519,229,1607.384034
32.088909,165,1615.685766
39.371509,231,1627.559867
39.59108,259,1640.649462
36.104366,236,1652.624485
49.440815,303,1667.753933
66.210656,519,1693.961139
43.312979,233,1705.667938
28.980859,177,1714.473364
33.71735,191,1724.248338
79.735951,478,1748.529579
76.253712,418,1769.70352
31.859347,220,1780.857078
8.33998,122,1786.981103
69.7411,317,1803.013077
23.093581,178,1812.16147
61.802524,271,1826.002228
36.195954,210,1836.534939
30.420783,199,1846.560272
37.197235,334,1863.325018
34.362693,228,1875.018475
43.623211,290,1889.618511
26.466658,203,1899.744546
43.744007,287,1914.164533
35.993997,205,1924.502539
45.106721,300,1939.819347
38.678816,309,1955.567914
69.144111,308,1971.099265
61.413508,356,1989.17198
65.828568,343,2006.770422
30.080184,173,2015.481381
33.743617,225,2026.947479
52.661466,273,2040.609681
60.20942,341,2057.678466
43.128648,203,2067.990854
65.753254,289,2082.43572
57.083803,247,2095.362741
57.777582,274,2109.591517
29.225114,229,2121.0851
51.0212,332,2138.088129
57.68908,246,2150.526603
60.600702,258,2163.511632
19.823271,155,2171.374888
33.272817,216,2182.46882
57.936617,242,2194.842199
31.468449,171,2203.365004
39.76578,210,2213.807369
40.63544,221,2225.127374
56.227415,260,2238.451047
95.703783,454,2261.482402
62.881404,346,2279.087274
84.617482,363,2297.382182
41.068056,229,2308.936926
76.326345,417,2330.319105
43.748374,215,2341.149611
40.258045,231,2352.823893
87.951031,526,2379.096347
56.099128,281,2393.2585
53.623354,235,2405.033922
33.980176,260,2418.149079
64.13865,287,2432.459352
41.790369,273,2446.497864
30.688356,185,2455.680773
58.483334,389,2475.32842
36.80113,212,2486.022056
57.167495,273,2499.929897
42.920173,240,2512.200239
84.519852,438,2534.148931
111.316913,508,2559.720463
62.214685,275,2573.710144
61.453676,346,2591.0643
35.061674,198,2601.173872
71.335506,389,2620.854398
37.275308,177,2629.889107
60.129701,234,2641.820542
73.578323,442,2664.112377
53.457741,302,2679.586231
68.914138,339,2696.883362
49.469637,254,2709.917042
45.553204,279,2724.002759
32.364487,181,2733.19978
45.370324,250,2745.946471
38.290618,225,2757.286312
51.197763,233,2769.208768
53.612171,229,2780.842097
79.728933,339,2798.030091
54.567527,257,2811.002921
60.628007,291,2825.899207
47.554983,282,2840.425358
79.3673,446,2862.931135
35.846721,175,2871.946293
69.153341,321,2888.454091
47.867716,214,2899.331764
53.897814,295,2914.28537
36.608606,196,2924.586855
52.856017,258,2937.826348
38.365772,215,2948.391345
33.826189,192,2957.102005
37.816142,215,2966.456185
55.208487,256,2977.780777
60.624669,302,2991.313604
34.888383,268,3003.352599
43.904973,200,3012.484365
79.529192,262,3024.251747
55.546086,263,3036.173765
59.528547,280,3048.868767
87.541394,344,3066.393578
54.109182,298,3081.668123
45.393933,230,3093.382823
56.696924,249,3105.976571
48.077137,242,3118.230382
36.196397,189,3127.832818
50.100439,270,3141.566175
22.616147,140,3148.680168
36.269236,284,3163.11797
55.430481,286,3177.718835
29.912909,173,3186.489748
38.615267,230,3198.182943
67.706892,288,3213.013915
49.119644,251,3225.872722
64.526138,282,3240.342277
32.902273,175,3249.237594
32.163691,218,3260.441451
52.48472,353,3278.482701
47.256089,245,3290.998122
38.025146,180,3300.045972
43.565916,203,3310.373814
80.947288,395,3330.671141
