#{"t_start": 1763709045.0934064, "env_id": "None"}
r,l,t
3.213107,170,6.310642
7.23272,202,15.790899
5.000971,146,22.643364
4.165113,235,33.448473
7.64291,282,47.148809
10.29824,429,67.764178
3.483836,150,75.51427
6.066391,223,87.294905
5.200563,204,96.738257
6.152011,188,105.819718
4.935863,201,115.341911
14.730363,380,133.507533
10.454232,287,147.286335
12.486338,404,163.125843
4.627988,193,170.489847
8.152017,274,180.943381
46.209127,631,205.144269
20.119048,473,223.323804
4.879074,237,232.412534
13.596438,477,250.840141
11.239488,319,263.221395
11.722619,317,275.293292
18.744972,375,289.55132
17.451775,495,308.571937
17.444902,465,326.263554
28.233905,354,339.800838
17.837607,536,360.326823
11.35076,401,375.841261
8.643377,267,386.092445
8.154931,299,397.55432
3.05365,158,403.592304
25.567958,655,431.967718
16.912473,362,448.905919
8.860719,347,465.354355
16.251114,296,479.408148
20.124846,380,497.214727
32.151544,685,529.487011
22.167138,338,545.272656
11.404372,248,557.020874
6.12029,176,565.301583
46.228267,500,588.429859
9.65212,172,596.352529
21.411587,357,612.914572
31.905267,477,635.061603
23.05469,328,650.168569
16.039923,236,660.944792
21.895865,399,679.329057
24.417078,285,692.572799
29.798401,309,706.627003
10.724912,197,715.493545
36.884365,358,731.568999
43.66777,371,748.543709
25.915982,227,758.666651
16.238307,176,766.669964
37.681891,257,778.141772
26.742363,267,789.976581
32.069125,283,802.547899
23.170263,236,813.233939
32.509749,237,823.731793
13.771401,193,832.263815
16.881212,206,841.385004
26.64922,255,852.739178
12.176359,162,860.173068
26.636819,232,870.548609
32.224344,253,881.811791
25.421925,220,891.564962
23.738644,216,901.179254
21.829431,326,916.031659
17.294806,181,924.443191
36.959329,319,939.082667
30.484885,343,954.68299
8.202497,150,961.436115
18.720172,231,971.936306
17.175723,185,980.326576
21.783336,261,992.335341
7.187932,138,998.849003
26.253293,255,1010.369582
38.608825,429,1029.971575
21.070372,253,1041.422822
39.470272,366,1057.815598
31.202195,283,1070.825693
44.553608,519,1094.107691
46.132372,513,1117.114903
44.49251,350,1132.917032
72.973469,534,1156.882368
22.834273,248,1168.395732
23.648797,224,1178.426583
21.573702,274,1190.787628
26.843261,270,1203.11399
7.566366,149,1210.021218
35.072989,286,1222.795506
42.805872,328,1237.377939
36.642474,363,1253.695476
15.170465,203,1263.008175
19.221825,172,1270.776723
24.799979,228,1281.218711
25.103033,241,1292.011246
21.339528,237,1302.703018
15.962323,188,1311.248906
67.351709,422,1330.12078
46.950086,376,1346.966929
32.782522,354,1362.882551
33.94255,298,1376.552094
26.1719,244,1387.530967
31.934292,248,1398.801983
34.806992,346,1414.519285
29.555408,229,1424.852375
29.886701,270,1437.138514
16.276049,171,1444.946764
26.76886,302,1458.79503
32.473092,313,1472.883359
27.315298,233,1483.677376
39.574461,326,1498.567443
22.834991,221,1508.732405
29.774121,292,1521.90771
20.86312,194,1530.785415
50.85877,357,1546.863735
13.922486,195,1555.729209
40.594404,303,1569.593555
43.962019,381,1586.650079
56.880034,380,1603.677151
43.42691,372,1620.515815
26.283237,242,1631.628709
58.553146,394,1649.410547
34.967909,290,1662.689556
34.468648,367,1679.245404
46.713565,405,1697.938899
19.043663,273,1710.354464
19.593256,232,1720.792888
42.24387,340,1736.13809
27.574851,288,1749.439363
14.543733,140,1755.887597
31.485136,326,1770.608835
15.855279,218,1780.6516
23.943211,252,1792.199697
33.003252,318,1806.760218
25.056229,252,1818.482454
59.397817,539,1842.999304
18.339625,225,1853.322189
39.730635,251,1864.87015
51.11486,424,1884.392308
30.872347,285,1897.371855
26.493699,319,1911.923418
48.080458,489,1934.324795
15.311122,208,1943.920554
25.893134,254,1955.458666
48.257124,453,1976.07692
48.176555,362,1992.355946
53.196299,453,2012.852544
36.949194,439,2032.946827
34.360688,289,2045.9903
27.593049,245,2057.100117
26.039296,264,2069.184699
40.906251,338,2084.350088
31.367405,329,2099.272202
11.73692,161,2106.58583
28.984447,247,2117.854773
34.114542,322,2132.690143
48.969752,376,2149.880235
28.437768,228,2160.653952
39.961929,427,2180.592125
33.920261,391,2198.742488
15.300447,237,2209.673365
27.926043,360,2226.546513
51.343204,456,2247.850472
33.213636,323,2262.718819
63.875593,436,2282.417469
34.15564,273,2294.865285
35.052473,278,2307.471758
27.503067,285,2320.563169
45.654183,341,2335.917037
60.715005,420,2355.077425
34.613616,236,2366.197413
18.720238,228,2376.816916
26.915153,257,2388.680309
22.789656,221,2398.831225
29.994889,329,2414.069768
25.768351,222,2424.285447
27.933236,308,2438.532877
30.280359,230,2449.137118
43.773142,371,2466.194058
60.395379,473,2487.862184
24.526655,272,2500.514488
23.176977,228,2511.000959
42.366863,275,2523.753545
46.568632,416,2542.920618
41.812052,421,2562.248321
21.780406,223,2572.501089
42.742361,332,2587.637904
21.947394,282,2600.606138
20.364403,234,2611.179052
