#{"t_start": 1764370418.6256437, "env_id": "None"}
r,l,t
22.817215,490,36.962697
19.433469,536,79.497838
21.006754,397,111.527325
18.433741,452,147.708028
19.353923,413,180.550931
7.217888,269,201.861307
24.633656,397,233.798456
8.226185,208,250.402985
6.733428,187,265.089399
14.653847,360,293.430854
17.428648,366,322.043801
7.716028,223,339.720138
19.730915,357,367.87835
23.792913,547,408.87471
29.496955,590,454.114585
9.745337,200,467.943683
36.112662,503,502.180578
25.747866,412,534.7299
17.856705,393,565.815853
34.847811,509,599.951099
16.630341,342,626.890407
23.387155,543,669.440024
27.81392,384,699.434304
45.02757,704,753.841863
15.855151,247,773.191215
43.35823,625,821.737554
50.217463,685,874.734116
16.758563,296,897.819518
23.083598,389,928.596818
27.445417,376,958.280395
10.043039,221,975.1372
24.678645,294,997.919068
43.210238,492,1035.329068
36.435546,445,1071.220892
13.396053,265,1092.757742
19.891905,224,1110.465205
11.367361,204,1126.162194
35.937325,485,1163.678538
43.985476,529,1204.575718
14.202687,226,1222.204807
54.382802,539,1264.146688
20.951893,332,1290.187676
16.133653,261,1310.36945
31.715072,431,1343.719888
24.966747,328,1369.377359
18.428545,291,1392.262167
6.701775,192,1407.33799
4.404542,122,1417.038252
1.265347,97,1424.757328
4.063786,180,1439.065146
7.140719,181,1453.327881
24.850897,301,1473.861217
16.492505,179,1487.845354
16.09288,222,1505.068248
21.167769,240,1523.233646
35.63039,338,1548.787187
13.482791,211,1564.960557
34.20082,227,1582.322373
30.12913,322,1606.61938
32.68186,316,1630.483453
21.632683,237,1648.349468
48.035336,384,1677.546001
44.875898,430,1710.242421
18.760721,207,1725.970599
32.068835,305,1749.339577
8.21512,130,1759.220839
22.655318,211,1775.279737
19.105096,259,1794.417881
15.360261,181,1807.502228
46.258519,362,1833.565535
34.519462,247,1851.190853
34.598763,330,1874.480462
27.774375,313,1896.948153
13.85662,178,1909.636854
12.732588,152,1920.625092
27.196535,292,1941.615291
15.881287,254,1959.643638
43.375893,269,1977.343347
42.598479,345,2003.466614
24.658671,289,2025.357078
20.205187,216,2041.928573
20.899608,221,2059.04437
37.282755,341,2085.475254
27.490669,295,2107.931729
14.61113,150,2119.4616
14.279468,201,2134.813764
42.415602,321,2158.992812
16.232422,216,2175.33738
57.793699,487,2212.126611
29.738869,284,2233.397326
19.933089,212,2249.576675
28.943668,242,2267.830917
52.150772,460,2302.571238
37.350693,322,2327.022496
56.093645,333,2352.048388
26.388622,251,2370.519797
33.075028,302,2393.246454
13.780206,169,2406.016258
25.389574,218,2422.722994
52.463328,425,2455.074214
34.781453,400,2485.089906
31.417888,250,2503.890401
17.394087,206,2519.452714
21.616647,195,2534.408352
33.82754,262,2554.336878
19.988602,198,2569.73714
62.458247,411,2601.466088
63.354208,584,2644.042096
39.533499,396,2672.478609
26.519869,198,2686.848649
52.061742,471,2720.655504
16.823849,168,2732.83998
23.143336,220,2749.476768
33.462249,297,2772.019726
23.277386,251,2791.498688
33.290276,307,2815.017229
14.088309,175,2828.381106
24.525346,226,2845.408124
43.030228,441,2878.583791
20.974527,206,2894.28387
30.560691,279,2915.560637
45.759517,305,2938.752865
30.263308,291,2960.735821
91.910266,588,3005.064952
69.504486,589,3049.670246
39.746074,347,3075.456536
40.752992,353,3101.145472
